Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.910336,48.910336,46.088585,46.558876,21.825182,10681615
2000-01-04,46.511845,46.511845,44.442562,44.442562,20.833130,6692841
2000-01-05,43.972271,46.370758,41.573784,43.737125,20.502447,10202365
2000-01-06,43.737125,43.737125,43.737125,43.737125,20.502447,0
2000-01-07,43.266834,44.009895,42.608425,43.511387,20.409077,55484769
2000-01-10,44.207417,44.677708,43.153965,44.207417,20.735554,53936713
2000-01-11,44.771767,48.440041,44.226231,47.640545,22.345869,14066988
2000-01-12,47.311340,51.167732,46.812832,48.910336,22.941462,12765349
2000-01-13,49.662800,56.246883,49.004391,55.494415,26.029743,23006440
2000-01-14,55.494415,61.137917,54.553833,58.316166,27.353291,13895578
2000-01-17,59.162693,64.665108,59.162693,63.442345,29.757727,19562434
2000-01-18,65.840836,72.942238,63.912640,69.415054,32.559235,32755682
2000-01-19,69.415054,69.415054,59.256752,61.326035,28.765064,18431646
2000-01-20,63.865608,64.900253,55.964710,60.150307,28.213577,25381775
2000-01-21,61.137917,63.959667,56.199856,63.113140,29.603319,27971949
2000-01-24,63.959667,64.618073,62.548794,63.207199,29.647434,7638637
2000-01-25,62.548794,64.006699,61.796326,63.066113,29.581257,10480118
2000-01-26,64.335899,65.934891,63.348289,64.806190,30.397432,11732585
2000-01-27,65.699745,66.075981,63.301258,63.489376,29.779779,8969938
2000-01-28,65.840836,65.840836,62.078503,63.771549,29.912119,9684442
2000-01-31,62.736908,63.724522,59.256752,59.256752,27.794472,7705803
2000-02-01,59.256752,60.667625,57.328556,58.222111,27.309168,9395605
2000-02-02,58.551311,60.808712,57.563702,60.667625,28.456230,8205997
2000-02-03,61.137917,64.194817,60.808712,63.912640,29.978313,10646717
2000-02-04,63.912640,64.053726,60.808712,62.642853,29.382719,7984459
2000-02-07,62.736908,63.630463,59.821102,59.821102,28.059170,6873101
2000-02-08,60.197334,63.912640,59.727043,63.818581,29.934189,10189394
2000-02-09,63.959667,65.511627,63.066113,64.618073,30.309212,8483565
2000-02-10,63.959667,64.618073,63.583435,64.429962,30.220968,3858243
2000-02-11,64.618073,69.838310,64.147781,64.900253,30.441557,20041977
2000-02-14,63.442345,64.429962,60.197334,62.078503,29.117998,17014387
2000-02-15,63.160172,63.160172,59.821102,59.915157,28.103292,4498936
2000-02-16,60.667625,61.796326,57.845875,58.316166,27.353291,10958598
2000-02-17,58.786461,61.608208,58.504284,60.996830,28.610643,5640170
2000-02-18,61.608208,62.925026,60.338421,62.548794,29.338591,7810179
2000-02-21,63.019085,63.254230,60.432480,63.160172,29.625364,6120563
2000-02-22,63.254230,64.429962,62.219589,63.818581,29.934189,12414636
2000-02-23,64.241844,66.734390,63.066113,66.593300,31.235683,7783653
2000-02-24,66.687363,66.875473,64.759163,65.323509,30.640085,11657340
2000-02-25,64.712135,67.110619,64.571045,65.887863,30.904797,12529697
2000-02-28,65.746773,65.840836,61.561180,61.561180,28.875360,8085381
2000-02-29,63.019085,63.019085,61.608208,61.655239,28.919476,4659741
2000-03-01,62.548794,62.877995,59.868130,60.432480,28.345947,7502418
2000-03-02,61.137917,62.031471,59.821102,60.385452,28.323877,14279914
2000-03-03,61.137917,61.420094,58.410225,59.162693,27.750349,11366270
2000-03-06,60.620598,60.620598,58.316166,58.363197,27.375345,7985018
2000-03-07,58.739429,62.642853,58.410225,61.137917,28.676828,12506467
2000-03-08,60.667625,63.113140,60.526539,61.796326,28.985649,7264427
2000-03-09,61.796326,62.078503,59.350807,60.197334,28.235645,11029564
2000-03-10,61.137917,61.137917,58.269138,58.316166,27.353291,13460024
2000-03-13,58.316166,58.316166,58.316166,58.316166,27.353291,0
2000-03-14,58.316166,61.137917,57.939934,59.821102,28.059170,13833861
2000-03-15,59.632984,60.902771,58.551311,59.821102,28.059170,11630495
2000-03-16,60.150307,60.667625,58.692402,59.538925,27.926819,6206972
2000-03-17,60.667625,60.808712,58.786461,59.021606,27.684170,6743953
2000-03-20,58.786461,59.256752,57.939934,58.033993,27.220924,7661415
